web-scraper-order,web-scraper-start-url,product_name,price,product_sold
"1705482488-47","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","St. Yves  Kemeja Lengan Pendek Poly Creepe Wanita 117819345","99.960","41 Terjual"
"1705482488-48","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Connexion Crickle Poly Blouse Wanita 115997577","99.960","38 Terjual"
"1705482488-49","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Connexion Rayon Twill Kemeja Wanita 116108892","99.960","54 Terjual"
"1705482488-50","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Connexion Blouse Raglan Lengan Pendek Wanita 117787746","99.960","12 Terjual"
"1705482488-51","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","St. Yves Levent Creepe Blouse Wanita 117074195","99.960","32 Terjual"
"1705482488-52","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Details Sweater Choc Top Knit Long Kombinasi Wvn Wanita 117099043","99.960","23 Terjual"
"1705482488-53","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Connexion Bell Sleeve Airflow Blouse Wanita 116107017","99.960","32 Terjual"
"1705482488-54","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","St. Yves Blouse Lengan Pendek Linen Pule Wanita 116758565","99.960","22 Terjual"
"1705482488-55","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Details Young Wording Sweater Wanita 115363224","99.960","51 Terjual"
"1705482488-56","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Minimal Ellie Denim Vest 105056389","100.000","3 Terjual"
"1705482488-57","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Kemeja Lengan Pendek Top Cotton Check 115509424","103.960","20 Terjual"
"1705482488-58","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Kemeja Wanita Top Boxy 115896168","103.960","60 Terjual"
"1705482488-59","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Skipper Collar Kemeja Wanita 116010880","103.960","32 Terjual"
"1705482488-60","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Stray Top Kemeja Wanita 115509488","103.960","84 Terjual"
"1705482488-61","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Atasa Kemeja Wanita Lengan Panjang 115571320","103.960","35 Terjual"
"1705482488-62","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Kemeja Lengan Panjang Wanita Check Reguler 115956898","103.960","54 Terjual"
"1705482488-63","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Kemeja Wanita Top Boxy 115896131","103.960","35 Terjual"
"1705482488-64","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Kemeja Lengan Panjang Checked Wanita 115978436","103.960","20 Terjual"
"1705482488-65","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","St. Yves Linen Sleeve 34 Blouse Wanita 118163800","107.960","49 Terjual"
"1705482488-66","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Details Blouse With 2 Front Pocket Wanita 117790330","107.960","45 Terjual"
"1705482488-67","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","St. Yves Lengan Panjang Blouse Twoven Licaevo Fabric Wanita 116016893","107.960","56 Terjual"
"1705482488-68","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Sweater wanita V Neck Enjoy Life 115547222","107.960","44 Terjual"
"1705482488-69","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Details Kemeja Printed With Button Opening Wanita 115884877","107.960","37 Terjual"
"1705482488-70","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","St. Yves Blouse Lengan Pendek Gynella Crash With Wanita 116767493","107.960","44 Terjual"
"1705482488-71","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Connexion Hai Half Blouse Wanita 115471849","107.960","40 Terjual"
"1705482488-72","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Connexion Mom Kemeja Livaeco Raglan Wanita 116102334","107.960","17 Terjual"
"1705482488-73","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","St. Yves Blouse Top Lengan Pendek Baloon Wanita 115509460","107.960","10 Terjual"
"1705482488-74","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Details Kaos Lengan Pendek Wanita With String At Front Waist 117790492","107.960","14 Terjual"
"1705482488-75","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","St. Yves  Blouse Lengan 3/4 With Smocking Wanita 116102218","107.960","14 Terjual"
"1705482488-76","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Connexion Basic Boxy Kemeja Wanita 115840208","107.960","67 Terjual"
"1705482488-77","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Connexion Blouse Poly Print Flower Wanita 115909537","107.960","79 Terjual"
"1705482488-78","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Sweatshirt Wanita Recreation 115905835","107.960","63 Terjual"
"1705482488-79","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","St. Yves Blouse 78 Orkide Twill With Tie Wanita 115977222","107.960","34 Terjual"
"1705482488-80","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","St. Yves Blouse Lengan Pendek Linen Polo Wanita 116758574","107.960","45 Terjual"
"1705482488-81","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","St. Yves Midi Dress Lengan Pendek Wanita Zinnia Flower 116040320","107.960","14 Terjual"
"1705482488-82","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","St. Yves Lengan Pendek Blouse Top Baloon Wanita 115509460","107.960","10 Terjual"
"1705482488-83","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","St. Yves Top Cey Blouse Wanita 115355975","107.960","40 Terjual"
"1705482488-84","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Choose Happy Kaos Wanita 115867127","109.900","70 Terjual"
"1705482488-85","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Logo Jeans Tunic New 105031093","110.142",""
"1705482488-86","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Connexion Kaos 3/4 Waffle Plain Wanita 115509675","111.930","234 Terjual"
"1705482488-87","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Connexion Kaos Lengan Panjang With Big Collar Wanita 117051665","111.930","107 Terjual"
"1705482488-88","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Connexion Kaos Rib Tulang Wanita 117914867","111.930","34 Terjual"
"1705482488-89","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Connexion Kaos 34 Waffle Plain Wanita 115509675","111.930","82 Terjual"
"1705482488-90","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Connexion Kaos Lengan Pendek Wanita W Big Collar 116777857","111.930","18 Terjual"
"1705482488-91","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Connexion Kaos 3/4 Wanita Waffle Plain 115509675","111.930","30 Terjual"
"1705482488-92","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Connexion Sabrina Kantong Kaos Wanita 117865321","111.930","98 Terjual"
"1705482488-93","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","St. Yves Kaos Lengan 3/4 Henly Stripe Wanita 118193724","111.930","69 Terjual"
"1705482488-94","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Details Vest With Flap Pocket And Button Wanita 115893009","111.960","26 Terjual"
"1705482488-95","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Annisa Midi Dress Lengan Panjang Basic Liva Eco Wanita 117046699","111.960","27 Terjual"
"1705482488-96","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Kemeja Lengan Panjang Check Rayon Twill Wanita 117677927","111.960","63 Terjual"
"1705482488-97","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Waffle Texture Sweater Wanita 117787791","111.960","94 Terjual"
"1705482488-98","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Connexion Midi Dress Lengan Panjang 78 Babyterry 115563008","111.960","69 Terjual"
"1705482488-99","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Midi Dress Wanita Detail Good Things Are Coming 115562643","111.960","57 Terjual"
"1705482488-100","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Annisa Blouse Lengan Panjang Plain With Smok On Waist 116048537","111.960","32 Terjual"
"1705482488-101","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Textured Fabric Sweater Wanita 116079496","111.960","50 Terjual"
"1705482488-102","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Midi Dress Wanita Feel Good 115905853","111.960","28 Terjual"
"1705482488-103","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Connexion Midi Dress Knit Tiered Lengan Pendek Wanita 116116730","111.960","48 Terjual"
"1705482488-104","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Sweater C&S Fabulous Wanita 116079469","111.960","65 Terjual"
"1705482488-105","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Details Sweater Wanita With Flower Embroderry 117790447","111.960","50 Terjual"
"1705482488-106","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Solid Print Anything Sweater Wanita 116079487","111.960","17 Terjual"
"1705482488-107","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","St. Yves Easycare Blouse Wanita 116420946","111.960","15 Terjual"
"1705482488-108","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Connexion Blouse 7/8 Wanita Skipper Collar Wanita 117388070","111.960","37 Terjual"
"1705482488-109","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Eprise Journee Casia Blouse Wanita 115314134","113.940",""
"1705482488-110","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Sweater wanita Everything Will Be Alright 115547151","115.960","12 Terjual"
"1705482488-111","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","St. Yves Kaos Lengan Pendek V Stripe Knit Top Wanita 117733651","118.930","27 Terjual"
"1705482488-112","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Sport Kaos Lengan Pendek Wanita 117070993","118.930","21 Terjual"
"1705482488-113","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Lois Girl Simple Blouse Wanita KC 105102980","119.750","2 Terjual"
